id,value,unit,period,qualifier,excerpt,context,sources,locators
C021,105,billion USD,S01: Quarter ended 2026-07-26; separately identified August subsequent events,conditional cap; neither paid cash nor expected loss,conditional USD105B guarantee cap,"<!-- D04 -->
NVIDIA's disclosed SB Energy arrangement pairs a conditional USD105B guarantee cap with NVIDIA infrastructure exclusivity, subject to exceptions, for an initial 4.25GW of IT load. Guarantees begin with lease commencement in nine phases, first expected in NVIDIA fiscal 2029. Defined tenant defaults can trigger payment; exposure declines and a satisfactory-credit-rating termination condition applies. The cap is neither cash paid nor expected loss.",S01,"S01: Note 10, lines 872-882"
C023,4.25,GW,S02: Announcement and proposed phased development,initial IT load,initial 4.25GW of IT load,"<!-- D04 -->
NVIDIA's disclosed SB Energy arrangement pairs a conditional USD105B guarantee cap with NVIDIA infrastructure exclusivity, subject to exceptions, for an initial 4.25GW of IT load. Guarantees begin with lease commencement in nine phases, first expected in NVIDIA fiscal 2029. Defined tenant defaults can trigger payment; exposure declines and a satisfactory-credit-rating termination condition applies. The cap is neither cash paid nor expected loss.",S02,S02: lines 21-27
C024,9,phases,S01: Quarter ended 2026-07-26; separately identified August subsequent events,"phased commencements, not currently operating phases",Guarantees begin with lease commencement in nine phases,"<!-- D04 -->
NVIDIA's disclosed SB Energy arrangement pairs a conditional USD105B guarantee cap with NVIDIA infrastructure exclusivity, subject to exceptions, for an initial 4.25GW of IT load. Guarantees begin with lease commencement in nine phases, first expected in NVIDIA fiscal 2029. Defined tenant defaults can trigger payment; exposure declines and a satisfactory-credit-rating termination condition applies. The cap is neither cash paid nor expected loss.",S01,"S01: Note 10, lines 872-882"
C038,2.6,billion USD,S05: Closed DDTL 5.5 and stated contract/debt terms,"announced facility, not cash drawn",USD2.6B facility,"<!-- D06 -->
CoreWeave's August announcement describes a USD2.6B facility with an approximately five-year term, against customer contracts averaging three years. The same release expressly allows renewal or re-leasing, subject to credit-agreement criteria, and reports Moody's Ba2 and Fitch BB+ ratings. Nscale separately reports investment-grade ratings for its delayed-draw US facilities, without naming the agencies in the inspected release. These are borrower disclosures; independent rating reports were not inspected. [CoreWeave facility](https://investors.coreweave.com/news/news-details/2026/CoreWeave-Closes-2-6-Billion-Loan-Facility-Expanding-Financing-Flexibility-for-AI-Infrastructure/default.aspx); [Nscale facilities](https://www.nscale.com/press-releases/nscale-3-billion-delayed-draw-term-loans).",S05,S05: lines 7-13
C039,5,years,S05: Closed DDTL 5.5 and stated contract/debt terms,approximately,approximately five-year term,"<!-- D06 -->
CoreWeave's August announcement describes a USD2.6B facility with an approximately five-year term, against customer contracts averaging three years. The same release expressly allows renewal or re-leasing, subject to credit-agreement criteria, and reports Moody's Ba2 and Fitch BB+ ratings. Nscale separately reports investment-grade ratings for its delayed-draw US facilities, without naming the agencies in the inspected release. These are borrower disclosures; independent rating reports were not inspected. [CoreWeave facility](https://investors.coreweave.com/news/news-details/2026/CoreWeave-Closes-2-6-Billion-Loan-Facility-Expanding-Financing-Flexibility-for-AI-Infrastructure/default.aspx); [Nscale facilities](https://www.nscale.com/press-releases/nscale-3-billion-delayed-draw-term-loans).",S05,S05: lines 7-13
C040,3,years,S05: Closed DDTL 5.5 and stated contract/debt terms,average customer contract term,customer contracts averaging three years,"<!-- D06 -->
CoreWeave's August announcement describes a USD2.6B facility with an approximately five-year term, against customer contracts averaging three years. The same release expressly allows renewal or re-leasing, subject to credit-agreement criteria, and reports Moody's Ba2 and Fitch BB+ ratings. Nscale separately reports investment-grade ratings for its delayed-draw US facilities, without naming the agencies in the inspected release. These are borrower disclosures; independent rating reports were not inspected. [CoreWeave facility](https://investors.coreweave.com/news/news-details/2026/CoreWeave-Closes-2-6-Billion-Loan-Facility-Expanding-Financing-Flexibility-for-AI-Infrastructure/default.aspx); [Nscale facilities](https://www.nscale.com/press-releases/nscale-3-billion-delayed-draw-term-loans).",S05,S05: lines 7-13
C049,4,years,S07: 2026-06-30 reporting date and July subsequent events,initial term,Hyperion property leases have four-year initial terms,"<!-- D08 -->
Meta's June interim filing illustrates a different allocation. Hyperion property leases have four-year initial terms, with options extending the total term up to 20 years. A declining residual-value guarantee threshold of about USD28B is conditional on termination or non-renewal, asset values and other terms. Meta reports that payment is not probable and records no liability for that guarantee. Those are unaudited interim disclosures.",S07,"S07: Note 5, lines 635-650"
C050,20,years,S07: 2026-06-30 reporting date and July subsequent events,maximum total with options,options extending the total term up to 20 years,"<!-- D08 -->
Meta's June interim filing illustrates a different allocation. Hyperion property leases have four-year initial terms, with options extending the total term up to 20 years. A declining residual-value guarantee threshold of about USD28B is conditional on termination or non-renewal, asset values and other terms. Meta reports that payment is not probable and records no liability for that guarantee. Those are unaudited interim disclosures.",S07,"S07: Note 5, lines 635-650"
C051,28,billion USD,S07: 2026-06-30 reporting date and July subsequent events,"approximately; declining contingent threshold, not expected loss",declining residual-value guarantee threshold of about USD28B,"<!-- D08 -->
Meta's June interim filing illustrates a different allocation. Hyperion property leases have four-year initial terms, with options extending the total term up to 20 years. A declining residual-value guarantee threshold of about USD28B is conditional on termination or non-renewal, asset values and other terms. Meta reports that payment is not probable and records no liability for that guarantee. Those are unaudited interim disclosures.",S07,"S07: Note 5, lines 635-650"
C061,165,million USD,March 2026 receipt; future sales 2027 to 2029,received deposit,USD165M customer deposit in March,"<!-- D10 -->
Modine received a USD165M customer deposit in March for more than USD4B of expected sales during 2027 to 2029. Those expected purchases are not guaranteed. Its April to June 2026 quarter also recorded production constraints, while Data Centers sales reached USD348.6M against USD183.7M a year earlier; guidance was reaffirmed. The constrained quarter preceded the funded customer's delivery window. It therefore does not establish a missed delivery to that customer. [Modine annual filing, customer agreement](https://www.sec.gov/Archives/edgar/data/67347/000110465926066795/mod-20260331x10k.htm); [quarterly operating results](https://investors.modine.com/news/news-details/2026/Modine-Reports-First-Quarter-Fiscal-2027-Results/default.aspx).",S09,S09: lines 1243-1257
